model_id,kegg.module,module_name
MAR03905,,
MAR03907,,
MAR04097,M00357,"Methanogenesis, acetate => methane"
MAR04099,M00357,"Methanogenesis, acetate => methane"
MAR04108,,
MAR04133,,
MAR04388,,
MAR04283,,
MAR08357,,
MAR04379,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04379,M00345,"Formaldehyde assimilation, ribulose monophosphate pathway"
MAR04301,,
MAR04355,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04358,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04358,M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04360,,
MAR04363,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04363,M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04363,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04363,M00346,"Formaldehyde assimilation, serine pathway"
MAR04365,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04365,M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04365,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04368,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04368,M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04368,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04368,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04368,M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
MAR04368,M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
MAR04370,,
MAR04371,,
MAR04372,,
MAR04373,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04373,M00002,"Glycolysis, core module involving three-carbon compounds"
MAR04373,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04373,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04373,M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
MAR04373,M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
MAR04375,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
MAR04375,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04375,M00165,Reductive pentose phosphate cycle (Calvin cycle)
MAR04375,M00344,"Formaldehyde assimilation, xylulose monophosphate pathway"
