model_id,kegg.module,module_name
HEX1,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
HEX1,M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc"
G6PPer,,
PGI,,
PFK,,
FBP,,
FBA,,
TPI,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
TPI,M00002,"Glycolysis, core module involving three-carbon compounds"
TPI,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
TPI,M00165,Reductive pentose phosphate cycle (Calvin cycle)
GAPD,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
GAPD,M00002,"Glycolysis, core module involving three-carbon compounds"
GAPD,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
GAPD,M00165,Reductive pentose phosphate cycle (Calvin cycle)
GAPD,M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
GAPD,M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
PGK,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
PGK,M00002,"Glycolysis, core module involving three-carbon compounds"
PGK,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
PGK,M00165,Reductive pentose phosphate cycle (Calvin cycle)
PGK,M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
PGK,M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
PGM,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
PGM,M00002,"Glycolysis, core module involving three-carbon compounds"
PGM,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
ENO,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
ENO,M00002,"Glycolysis, core module involving three-carbon compounds"
ENO,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
ENO,M00346,"Formaldehyde assimilation, serine pathway"
PYK,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
PYK,M00002,"Glycolysis, core module involving three-carbon compounds"
r0122,,
