module_id,reactions
M00001,"R01786,R02189,R09085  C00267 -> C00668 R13199  C00668 -> C00085 R00756,R05805  C00085 -> C00354 R01068  C00354 -> C00111 + C00118 R01015  C00111 -> C00118 R01061,R01063  C00118 -> C00236 R01512  C00236 -> C00197 R07159  C00118 -> C00197 R01518  C00197 -> C00631 R00658  C00631 -> C00074 R00200  C00074 -> C00022"
M00549,"R01786,R02189 C00267 -> C00668 R00959 C00668 -> C00103 R00289 C00103 -> C00029"
M00002,"R01015  C00111 -> C00118 R01061,R01063  C00118 -> C00236 R01512  C00236 -> C00197 R07159  C00118 -> C00197 R01518  C00197 -> C00631 R00658  C00631 -> C00074 R00200  C00074 -> C00022"
M00003,"R00431,R00726,R00341  C00036 -> C00074 R00658  C00074 -> C00631 R01518  C00631 -> C00197 R01512  C00197 -> C00236 R01061,R01063  C00236 -> C00118 R01015  C00118 -> C00111 R01068  C00111 + C00118 -> C00354 R00762  C00354 -> C00085"
M00004,"R02736,R10907  C01172 -> C01236 R02035  C01236 -> C00345 R01528,R10221  C00345 -> C00199 R01529  C00199 -> C00231 R01056  C00199 -> C00117 R01641  C00117 + C00231 -> C05382 + C00118 R08575  C05382 + C00118 -> C00279 + C00085 R01067  C00279 + C00231 -> C00085 + C00118 R13199  C00085 -> C00668 R02739  C00668 -> C01172"
M00006,"R02736,R10907  C01172 -> C01236 R02035  C01236 -> C00345 R01528,R10221  C00345 -> C00199"
M00007,R01067  C00085 + C00118 -> C00279 + C00231 R08575  C00279 + C00085 -> C05382 + C00118 R01641  C05382 + C00118 -> C00117 + C00231 R01529  C00231 -> C00199 R01056  C00199 -> C00117
M00307,"R00209,R01196,R10866  C00022 -> C00024  R00014  C00022 + C00068 -> C05125 R03270  C05125 + C15972 -> C16255 + C00068 R02569  C16255 -> C00024 + C15973 R07618  C15973 -> C15972"
M00009,"R00351  C00024 + C00036 -> C00158 R01325+R01900,R01324  C00158 -> C00311 R01899+R00268,R00267,R00709  C00311 -> C00026 R00621+R03316,R01700  C00026 + C15972 -> C16254 R02570  C16254 -> C00091 + C15973 R07618  C15973 -> C15972 R01197  C00026 -> C00091 R00405,R00432,R00727,R10343  C00091 -> C00042 R02164  C00042 -> C00122 R01082  C00122 -> C00149 R00342,R00361  C00149 -> C00036"
M00011,"R00621+R03316,R01700  C00026 + C15972 -> C16254 R02570  C16254 -> C00091 + C15973 R07618  C15973 -> C15972 R01197  C00026 -> C00091 R00405,R00432,R00727,R10343  C00091 -> C00042 R02164  C00042 -> C00122 R01082  C00122 -> C00149 R00342,R00361  C00149 -> C00036"
M00032,"R00716  C00047 -> C00449 R02313  C00449 -> C04076 R03102,R03103  C04076 -> C00956 R01939  C00956 -> C00322 R01933  C00322 -> C00527 R01940,R13166+R13167  C00322 + C15972 -> C06157 R02571  C06157 -> C00527 R07618  C15973 -> C15972 R02488  C00527 -> C00877 R03026  C00877 -> C01144 R01975  C01144 -> C00332"
M00036,R01090  C00123 -> C00233 R07601+R07602  C00233 + C15972 -> C15975 R04097  C15975 -> C02939 + C15973 R07618  C15973 -> C15972 R04095  C02939 -> C03069 R04138  C03069 -> C03231 R02085  C03231 -> C00356 R01360  C00356 -> C00164
M00010,"R00351  C00036 + C00024 -> C00158 R01325+R01900,R01324  C00158 -> C00311 R01899+R00268,R00267,R00709  C00311 -> C00026"
M00152,R02161  C00390 + 2 C00125 -> C00399 + 2 C00126 + 2 C00080
M00154,R00081  C00007 + 4 C00126 + 4 C00080 -> 4 C00125 + 2 C00001
M00158,R00086  C00008 + C00009 -> C00002 + C00001
M00160,R00086  C00008 + C00009 -> C00002 + C00001
M00050,"R01130  C00130 -> C00655 R01230,R01231  C00655 -> C00144 R00332  C00144 -> C00035 R00330  C00035 -> C00044"
M00049,"R01135  C00130 -> C03794 R01083  C03794 -> C00020 R00127,R00333  C00020 -> C00008 R00331  C00008 -> C00002"
M00086,R01280  C00249 -> C00154
M00087,R01279  C00154 -> C05272 R04738  C05272 -> C05258 R04737  C05258 -> C05259 R03991  C05259 -> C02593 + C00024  R03990  C02593 -> C05273 R04740  C05273 -> C05260 R04739  C05260 -> C05261 R03858  C05261 -> C01832 + C00024  R03857  C01832 -> C03221 R04170  C03221 -> C05262 R04741  C05262 -> C05263 R04742  C05263 -> C05274 + C00024  R04754  C05274 -> C05275 R04744  C05275 -> C05264 R04743  C05264 -> C05265 R03778  C05265 -> C01944 + C00024  R03777  C01944 -> C05276 R04746  C05276 -> C05266 R04745  C05266 -> C05267 R04747  C05267 -> C05270 + C00024  R04751  C05270 -> C05271 R04749  C05271 -> C05268 R04748  C05268 -> C05269 R01177  C05269 -> C00136 + C00024  R01175  C00136 -> C00877 R03026  C00877 -> C01144 R01975  C01144 -> C00332 R00238  C00332 -> C00024
M00085,R00391  C00040 + C00024 -> C00264 R01778  C00264 -> C00640 R02685  C00640 -> C00658 R07162  C00658 -> C00040  R01177  C00136 + C00024 -> C05269 R04748  C05269 -> C05268 R04749  C05268 -> C05271 R06985  C05271 -> C05270  R04747  C05270 + C00024 -> C05267 R04745  C05267 -> C05266 R04746  C05266 -> C05276 R03776  C05276 -> C01944  R03778  C01944 + C00024 -> C05265 R04743  C05265 -> C05264 R04744  C05264 -> C05275 R04753  C05275 -> C05274  R04742  C05274 + C00024 -> C05263 R04741  C05263 -> C05262 R04170  C05262 -> C03221 R03856  C03221 -> C01832  R03858  C01832 + C00024 -> C05261 R04739  C05261 -> C05260 R04740  C05260 -> C05273 R03989  C05273 -> C02593  R03991  C02593 + C00024 -> C05259 R04737  C05259 -> C05258 R04738  C05258 -> C05272 R01278  C05272 -> C00154
M00095,R00238  C00024 -> C00332 R01978  C00332 + C00024 -> C00356 R02082  C00356 -> C00418 R02245  C00418 -> C01107 R03245  C01107 -> C01143 R01121  C01143 -> C00129 R01123  C00129 -> C00235
M00082,R00742  C00024 -> C00083 R01626  C00083 -> C01209 R01624  C00024 -> C03939 R04355  C03939 + C01209 -> C05744 R10707  C00024 + C01209 -> C05744
M00083,"R04355  C03939 + C01209 -> C05744 R04533  C05744 -> C04618 R04428  C04618 -> C04246 R04429,R04430  C04246 -> C05745  R04952  C05745 + C01209 -> C05746 R04953  C05746 -> C05747 R04954  C05747 -> C05748 R04955,R04956  C05748 -> C05749  R04957  C05749 + C01209 -> C05750 R04536  C05750 -> C04620 R04537  C04620 -> C05751 R04958,R04959  C05751 -> C05752  R04960  C05752 + C01209 -> C05753 R04534  C05753 -> C04619 R04535  C04619 -> C05754 R04961,R04962  C05754 -> C05755  R04963  C05755 + C01209 -> C05756 R04964  C05756 -> C05757 R04965  C05757 -> C05758 R04724,R04725  C05758 -> C05223  R04726  C05223 + C01209 -> C05759 R04566  C05759 -> C04688 R04568  C04688 -> C05760 R04966,R04967  C05760 -> C05761  R04968  C05761 + C01209 -> C05762 R04543  C05762 -> C04633 R04544  C04633 -> C05763 R04969,R04970  C05763 -> C05764"
