module,module name
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00165,Reductive pentose phosphate cycle (Calvin cycle)
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
M00346,"Formaldehyde assimilation, serine pathway"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P"
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
M00580,"Pentose phosphate pathway, archaea, fructose-6P => ribose-5P"
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
M00009,"Citrate cycle (TCA cycle, Krebs cycle)"
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
M00032,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"
M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
M00012,Glyoxylate cycle
M00740,Methylaspartate cycle
M00173,Reductive citrate cycle (Arnon-Buchanan cycle)
M00374,Dicarboxylate-hydroxybutyrate cycle
M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
M00376,3-Hydroxypropionate bi-cycle
M00982,Methylcitrate cycle
M00168,"CAM (Crassulacean acid metabolism), dark"
M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
M00149,"Succinate dehydrogenase, prokaryotes"
M00150,"Fumarate reductase, prokaryotes"
M00152,Cytochrome bc1 complex
M00154,Cytochrome c oxidase
M00155,"Cytochrome c oxidase, prokaryotes"
M00156,"Cytochrome c oxidase, cbb3-type"
M00157,"F-type ATPase, prokaryotes and chloroplasts"
M00158,"F-type ATPase, eukaryotes"
M00159,"V/A-type ATPase, prokaryotes"
M00160,"V-type ATPase, eukaryotes"
M00169,"CAM (Crassulacean acid metabolism), light"
M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00170,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"
M00086,"beta-Oxidation, acyl-CoA synthesis"
M00087,beta-Oxidation
M00085,Fatty acid elongation in mitochondria
M00375,Hydroxypropionate-hydroxybutylate cycle
M00957,"Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA"
