kegg.module,module_name
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
M00087,beta-Oxidation
M00095,"C5 isoprenoid biosynthesis, mevalonate pathway"
M00087,beta-Oxidation
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P"
M00004,Pentose phosphate pathway (Pentose phosphate cycle)
M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00029,Urea cycle
M00844,"Arginine biosynthesis, ornithine => arginine"
M00029,Urea cycle
M00844,"Arginine biosynthesis, ornithine => arginine"
M00029,Urea cycle
M00027,GABA (gamma-Aminobutyrate) shunt
M00027,GABA (gamma-Aminobutyrate) shunt
M00027,GABA (gamma-Aminobutyrate) shunt
M00044,"Tyrosine degradation, tyrosine => homogentisate"
M00970,"Proline degradation, proline => glutamate"
M00972,Proline metabolism
M00029,Urea cycle
M00844,"Arginine biosynthesis, ornithine => arginine"
M00029,Urea cycle
M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
M00015,"Proline biosynthesis, glutamate => proline"
M00970,"Proline degradation, proline => glutamate"
M00972,Proline metabolism
M00015,"Proline biosynthesis, glutamate => proline"
M00970,"Proline degradation, proline => glutamate"
M00972,Proline metabolism
M00015,"Proline biosynthesis, glutamate => proline"
M00972,Proline metabolism
M00972,Proline metabolism
M00972,Proline metabolism
