module name,module id_x,Human1,module id_y,Mitocore
Acylglycerol degradation,M00098,1.0,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",M00049,0.6,M00049,0.6
"Adenine ribonucleotide degradation, AMP => Urate",M00958,1.0,M00958,0.1111111111111111
"Arginine biosynthesis, ornithine => arginine",M00844,1.0,M00844,1.0
"Betaine biosynthesis, choline => betaine",M00555,0.375,,
"Betaine metabolism, animals, betaine => glycine",M00974,0.5,,
"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",M00104,0.41379310344827586,,
"C1-unit interconversion, eukaryotes",M00141,1.0,M00141,1.0
"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",M00367,0.75,,
"C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone",M00977,0.1,,
"C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone",M00976,0.3333333333333333,,
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",M00110,0.3333333333333333,,
"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",M00108,0.25,,
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",M00109,0.4,,
"C5 isoprenoid biosynthesis, mevalonate pathway",M00095,1.0,M00095,0.2857142857142857
"CMP-Neu5Ac/Neu5Gc biosynthesis, animals, UDP-GlcNAc => CMP-Neu5Ac => CMP-Neu5Gc",M00955,1.0,,
"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",M00042,1.0,,
Ceramide biosynthesis,M00094,0.5,,
Cholecalciferol biosynthesis,M00103,1.0,,
"Cholesterol biosynthesis, FPP => cholesterol",M00101,0.7647058823529411,,
"Citrate cycle (TCA cycle, Krebs cycle)",M00009,0.6363636363636364,M00009,0.7727272727272727
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",M00010,0.75,M00010,1.0
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",M00011,0.5714285714285714,M00011,0.6428571428571429
"Coenzyme A biosynthesis, pantothenate => CoA",M00120,0.8333333333333334,,
"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",M00106,0.6666666666666666,,
Creatine pathway,M00047,0.5,M00047,0.25
"Cysteine biosynthesis, homocysteine + serine => cysteine",M00338,1.0,M00338,1.0
Cytochrome bc1 complex,,,M00152,1.0
Cytochrome c oxidase,,,M00154,1.0
"De novo purine biosynthesis, PRPP + glutamine => IMP",M00048,0.7692307692307693,,
"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP",M00051,0.75,,
"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",M00053,1.0,,
"F-type ATPase, eukaryotes",M00158,1.0,M00158,1.0
"Fatty acid biosynthesis, elongation",M00083,0.8,M00083,0.8
"Fatty acid biosynthesis, initiation",M00082,0.8,M00082,0.8
Fatty acid elongation in mitochondria,M00085,0.6428571428571429,M00085,0.8571428571428571
GABA (gamma-Aminobutyrate) shunt,M00027,0.8,M00027,0.6
"GABA biosynthesis, eukaryotes, putrescine => GABA",M00135,0.6,M00135,0.8
"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc",M01016,1.0,,
"GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc",M01001,1.0,,
"GDP-Man biosynthesis, Fru-6P => GDP-Man",M01000,1.0,,
"GDP-Man biosynthesis, Man => GDP-Man",M01015,1.0,,
"GPI-anchor biosynthesis, core oligosaccharide",M00065,0.3333333333333333,,
"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",M00632,1.0,,
"Gluconeogenesis, oxaloacetate => fructose-6P",M00003,0.7272727272727273,M00003,0.5454545454545454
Glucuronate pathway (uronate pathway),M00014,0.6363636363636364,,
"Glutathione biosynthesis, glutamate => glutathione",M00118,1.0,M00118,1.0
Glycine cleavage system,,,M00621,0.75
"Glycogen biosynthesis, glucose-1P => glycogen/starch",M00854,0.2,,
"Glycogen degradation, glycogen => glucose-6P",M00855,0.5,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M00001,0.5333333333333333,M00001,0.4666666666666667
"Glycolysis, core module involving three-carbon compounds",M00002,0.75,M00002,0.75
"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",M00069,1.0,,
"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",M00068,1.0,,
"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",M00070,1.0,,
"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",M00071,1.0,,
"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",M00050,1.0,M00050,0.2
"Guanine ribonucleotide degradation, GMP => Urate",M00959,1.0,,
"Heme biosynthesis, animals and fungi, glycine => heme",M00868,1.0,M00868,1.0
"Histidine degradation, histidine => N-formiminoglutamate => glutamate",M00045,0.5714285714285714,M00045,0.5714285714285714
"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate",M00132,1.0,,
"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",M00131,1.0,,
"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",M00130,1.0,,
Lactosylceramide biosynthesis,M00066,1.0,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",M00036,0.8888888888888888,M00036,0.8888888888888888
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",M00032,0.6428571428571429,M00032,0.6428571428571429
"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin",M00037,0.75,,
Methionine degradation,M00035,0.8,M00035,0.6
Methionine salvage pathway,M00034,0.6428571428571429,M00034,0.07142857142857142
"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",M00880,0.6,,
N-glycan precursor biosynthesis,M00055,0.4,,
"NAD biosynthesis, tryptophan => quinolinate => NAD",M00912,0.9,M00912,0.5
"PRPP biosynthesis, ribose-5P => PRPP",M00005,1.0,,
Pentose phosphate pathway (Pentose phosphate cycle),M00004,0.5833333333333334,M00004,0.5
"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P",M00007,1.0,M00007,0.6
"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P",M00006,0.4,M00006,0.6
"Phosphatidylcholine (PC) biosynthesis, PE => PC",M00091,1.0,,
"Phosphatidylcholine (PC) biosynthesis, choline => PC",M00090,0.6666666666666666,,
"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",M00092,1.0,,
"Polyamine biosynthesis, arginine => ornithine => putrescine",M00134,0.6666666666666666,M00134,0.6666666666666666
"Proline biosynthesis, glutamate => proline",M00015,1.0,M00015,1.0
"Proline degradation, proline => glutamate",M00970,0.5,M00970,0.75
Proline metabolism,M00972,0.8,M00972,1.0
"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",M00741,1.0,M00741,1.0
"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",M00046,0.875,,
"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",M00938,0.8571428571428571,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",M00052,1.0,M00052,0.2
"Pyruvate oxidation, pyruvate => acetyl-CoA",M00307,0.3333333333333333,M00307,0.5
"Serine biosynthesis, glycerate-3P => serine",M00020,1.0,M00020,1.0
Sphingosine biosynthesis,M00099,0.4,,
Sphingosine degradation,M00100,1.0,,
"Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone",M00107,1.0,,
"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",M00067,0.25,,
"Tetrahydrobiopterin biosynthesis, GTP => BH4",M00842,1.0,,
"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",M00043,0.75,,
Triacylglycerol biosynthesis,M00089,1.0,M00089,0.5
"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",M00038,0.8571428571428571,M00038,1.0
"Tyrosine degradation, tyrosine => homogentisate",M00044,1.0,M00044,1.0
"UDP-Gal biosynthesis, Gal => UDP-Gal",M00554,1.0,,
"UDP-Glc biosynthesis, Glc => UDP-Glc",M00549,0.25,M00549,0.25
"UDP-GlcNAc biosynthesis, GlcNAc => UDP-GlcNAc",M01003,0.3333333333333333,,
"UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc",M00892,0.5,,
Urea cycle,M00029,1.0,M00029,1.0
"V-type ATPase, eukaryotes",M00160,1.0,M00160,1.0
beta-Oxidation,M00087,1.0,M00087,1.0
"beta-Oxidation, acyl-CoA synthesis",M00086,1.0,M00086,1.0
