module,module_name,Mitocore,Human1
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",1,1
M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc",1,1
M00002,"Glycolysis, core module involving three-carbon compounds",1,1
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",1,1
M00004,Pentose phosphate pathway (Pentose phosphate cycle),1,1
M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P",1,1
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P",1,1
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA",1,1
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",1,1
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",1,1
M00032,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",1,1
M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",1,1
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",1,1
M00152,Cytochrome bc1 complex,1,0
M00154,Cytochrome c oxidase,1,0
M00158,"F-type ATPase, eukaryotes",1,1
M00160,"V-type ATPase, eukaryotes",1,1
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",1,1
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",1,1
M00086,"beta-Oxidation, acyl-CoA synthesis",1,1
M00087,beta-Oxidation,1,1
M00085,Fatty acid elongation in mitochondria,1,1
M00095,"C5 isoprenoid biosynthesis, mevalonate pathway",1,1
M00082,"Fatty acid biosynthesis, initiation",1,1
M00083,"Fatty acid biosynthesis, elongation",1,1
M00741,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",1,1
M00034,Methionine salvage pathway,1,1
M00035,Methionine degradation,1,1
M00338,"Cysteine biosynthesis, homocysteine + serine => cysteine",1,1
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",1,1
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD",1,1
M00970,"Proline degradation, proline => glutamate",1,1
M00972,Proline metabolism,1,1
M00015,"Proline biosynthesis, glutamate => proline",1,1
M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine",1,1
M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA",1,1
M00027,GABA (gamma-Aminobutyrate) shunt,1,1
M00020,"Serine biosynthesis, glycerate-3P => serine",1,1
M00141,"C1-unit interconversion, eukaryotes",1,1
M00621,Glycine cleavage system,1,0
M00029,Urea cycle,1,1
M00844,"Arginine biosynthesis, ornithine => arginine",1,1
M00118,"Glutathione biosynthesis, glutamate => glutathione",1,1
M00044,"Tyrosine degradation, tyrosine => homogentisate",1,1
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",1,1
M00047,Creatine pathway,1,1
M00958,"Adenine ribonucleotide degradation, AMP => Urate",1,1
M00868,"Heme biosynthesis, animals and fungi, glycine => heme",1,1
M00089,Triacylglycerol biosynthesis,1,1
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",1,1
M00855,"Glycogen degradation, glycogen => glucose-6P",0,1
M00014,Glucuronate pathway (uronate pathway),0,1
M00854,"Glycogen biosynthesis, glucose-1P => glycogen/starch",0,1
M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",0,1
M00554,"UDP-Gal biosynthesis, Gal => UDP-Gal",0,1
M01000,"GDP-Man biosynthesis, Fru-6P => GDP-Man",0,1
M01015,"GDP-Man biosynthesis, Man => GDP-Man",0,1
M01016,"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc",0,1
M01001,"GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc",0,1
M00005,"PRPP biosynthesis, ribose-5P => PRPP",0,1
M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP",0,1
M00959,"Guanine ribonucleotide degradation, GMP => Urate",0,1
M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",0,1
M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",0,1
M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP",0,1
M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",0,1
M00555,"Betaine biosynthesis, choline => betaine",0,1
M00974,"Betaine metabolism, animals, betaine => glycine",0,1
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",0,1
